SampleID,P,N,E,variable,value,label,unit,group
W-N2+E-1,Wheat,100%,+E,TC_gkg,14.6037876605988,TC,g kg^-1,core
W-N2+E-1,Wheat,100%,+E,TN_gkg,0.877320766448975,TN,g kg^-1,core
W-N2+E-1,Wheat,100%,+E,SOC_gkg,1.93422031875966,SOC,g kg^-1,core
W-N2+E-1,Wheat,100%,+E,NO3_N,58.5084195631056,NO3-N,mg kg^-1,available_N
W-N2+E-1,Wheat,100%,+E,NH4_N,26.5116646948991,NH4-N,mg kg^-1,available_N
W-N2+E-1,Wheat,100%,+E,N_availability,85.0200842580047,Available N,mg kg^-1,available_N
W-N2+E-1,Wheat,100%,+E,pH,7.2,pH,,supplement
W-N2+E-1,Wheat,100%,+E,Soil_moisture,14.4819690898684,Soil moisture,%,supplement
W-N2+E-6,Wheat,100%,+E,TC_gkg,16.6130232810974,TC,g kg^-1,core
W-N2+E-6,Wheat,100%,+E,TN_gkg,0.903457999229431,TN,g kg^-1,core
W-N2+E-6,Wheat,100%,+E,SOC_gkg,1.89203571257508,SOC,g kg^-1,core
W-N2+E-6,Wheat,100%,+E,NO3_N,427.237756596927,NO3-N,mg kg^-1,available_N
W-N2+E-6,Wheat,100%,+E,NH4_N,16.5512089203144,NH4-N,mg kg^-1,available_N
W-N2+E-6,Wheat,100%,+E,N_availability,443.788965517241,Available N,mg kg^-1,available_N
W-N2+E-6,Wheat,100%,+E,pH,7.12,pH,,supplement
W-N2+E-6,Wheat,100%,+E,Soil_moisture,17.5862069,Soil moisture,%,supplement
W-N2+E-9,Wheat,100%,+E,TC_gkg,16.9245624542236,TC,g kg^-1,core
W-N2+E-9,Wheat,100%,+E,TN_gkg,0.662416219711304,TN,g kg^-1,core
W-N2+E-9,Wheat,100%,+E,SOC_gkg,1.68393376493953,SOC,g kg^-1,core
W-N2+E-9,Wheat,100%,+E,NO3_N,53.5949832773419,NO3-N,mg kg^-1,available_N
W-N2+E-9,Wheat,100%,+E,NH4_N,16.5136700590277,NH4-N,mg kg^-1,available_N
W-N2+E-9,Wheat,100%,+E,N_availability,70.1086533363696,Available N,mg kg^-1,available_N
W-N2+E-9,Wheat,100%,+E,pH,7.2,pH,,supplement
W-N2+E-9,Wheat,100%,+E,Soil_moisture,10.1321585903083,Soil moisture,%,supplement
W-N3+E-3,Wheat,150%,+E,TC_gkg,15.027539730072,TC,g kg^-1,core
W-N3+E-3,Wheat,150%,+E,TN_gkg,0.638802796602249,TN,g kg^-1,core
W-N3+E-3,Wheat,150%,+E,SOC_gkg,1.70651431962112,SOC,g kg^-1,core
W-N3+E-3,Wheat,150%,+E,NO3_N,41.9009371228317,NO3-N,mg kg^-1,available_N
W-N3+E-3,Wheat,150%,+E,NH4_N,23.7342946027082,NH4-N,mg kg^-1,available_N
W-N3+E-3,Wheat,150%,+E,N_availability,65.63523172554,Available N,mg kg^-1,available_N
W-N3+E-3,Wheat,150%,+E,pH,7.08,pH,,supplement
W-N3+E-3,Wheat,150%,+E,Soil_moisture,18.6943620178042,Soil moisture,%,supplement
W-N3+E-6,Wheat,150%,+E,TC_gkg,15.6706023216248,TC,g kg^-1,core
W-N3+E-6,Wheat,150%,+E,TN_gkg,0.61352301388979,TN,g kg^-1,core
W-N3+E-6,Wheat,150%,+E,SOC_gkg,1.36152792925883,SOC,g kg^-1,core
W-N3+E-6,Wheat,150%,+E,NO3_N,40.8504060857436,NO3-N,mg kg^-1,available_N
W-N3+E-6,Wheat,150%,+E,NH4_N,25.4676596417146,NH4-N,mg kg^-1,available_N
W-N3+E-6,Wheat,150%,+E,N_availability,66.3180657274583,Available N,mg kg^-1,available_N
W-N3+E-6,Wheat,150%,+E,pH,7.19,pH,,supplement
W-N3+E-6,Wheat,150%,+E,Soil_moisture,17.6470588235294,Soil moisture,%,supplement
W-N3+E-10,Wheat,150%,+E,TC_gkg,16.9381213188171,TC,g kg^-1,core
W-N3+E-10,Wheat,150%,+E,TN_gkg,0.755683705210686,TN,g kg^-1,core
W-N3+E-10,Wheat,150%,+E,SOC_gkg,1.07491470960899,SOC,g kg^-1,core
W-N3+E-10,Wheat,150%,+E,NO3_N,423.42755272051,NO3-N,mg kg^-1,available_N
W-N3+E-10,Wheat,150%,+E,NH4_N,21.5724472794898,NH4-N,mg kg^-1,available_N
W-N3+E-10,Wheat,150%,+E,N_availability,445,Available N,mg kg^-1,available_N
W-N3+E-10,Wheat,150%,+E,pH,7.15,pH,,supplement
W-N3+E-10,Wheat,150%,+E,Soil_moisture,16.0092807424594,Soil moisture,%,supplement
W-N4+E-2,Wheat,200%,+E,TC_gkg,19.0122151374817,TC,g kg^-1,core
W-N4+E-2,Wheat,200%,+E,TN_gkg,1.88784390687943,TN,g kg^-1,core
W-N4+E-2,Wheat,200%,+E,SOC_gkg,1.67846621498575,SOC,g kg^-1,core
