SampleID,作物,氮水平,蚯蚓处理,variable,variable_label,value,unit,variable_group
W-N4-7,小麦,200%氮肥,不加蚯蚓,SOC_gkg,SOC,0.791148208954438,g kg^-1,C_N_pool
W-N4-7,小麦,200%氮肥,不加蚯蚓,NO3_N,NO3--N,410.557740280817,mg kg^-1,available_N
W-N4-7,小麦,200%氮肥,不加蚯蚓,NH4_N,NH4+-N,29.0705915275413,mg kg^-1,available_N
W-N4-7,小麦,200%氮肥,不加蚯蚓,N_availability,Available N,439.628331808358,mg kg^-1,available_N
W-N4-7,小麦,200%氮肥,不加蚯蚓,pH,pH,7.3,none,supplement
W-N4-7,小麦,200%氮肥,不加蚯蚓,Soil_moisture,Soil moisture,7.70059235325794,%,supplement
W-N1+E-1,小麦,50%氮肥,加蚯蚓,TC_gkg,TC,16.9525587558746,g kg^-1,C_N_pool
W-N1+E-1,小麦,50%氮肥,加蚯蚓,TN_gkg,TN,0.562440678477287,g kg^-1,C_N_pool
W-N1+E-1,小麦,50%氮肥,加蚯蚓,SOC_gkg,SOC,1.51569209828997,g kg^-1,C_N_pool
W-N1+E-1,小麦,50%氮肥,加蚯蚓,NO3_N,NO3--N,44.5877320515046,mg kg^-1,available_N
W-N1+E-1,小麦,50%氮肥,加蚯蚓,NH4_N,NH4+-N,27.0374065522938,mg kg^-1,available_N
W-N1+E-1,小麦,50%氮肥,加蚯蚓,N_availability,Available N,71.6251386037984,mg kg^-1,available_N
W-N1+E-1,小麦,50%氮肥,加蚯蚓,pH,pH,7.28,none,supplement
W-N1+E-1,小麦,50%氮肥,加蚯蚓,Soil_moisture,Soil moisture,15.8748551564311,%,supplement
W-N1+E-6,小麦,50%氮肥,加蚯蚓,TC_gkg,TC,14.6696841716766,g kg^-1,C_N_pool
W-N1+E-6,小麦,50%氮肥,加蚯蚓,TN_gkg,TN,0.541969537734985,g kg^-1,C_N_pool
W-N1+E-6,小麦,50%氮肥,加蚯蚓,SOC_gkg,SOC,2.40877428999777,g kg^-1,C_N_pool
W-N1+E-6,小麦,50%氮肥,加蚯蚓,NO3_N,NO3--N,383.906737774627,mg kg^-1,available_N
W-N1+E-6,小麦,50%氮肥,加蚯蚓,NH4_N,NH4+-N,17.1731444096123,mg kg^-1,available_N
W-N1+E-6,小麦,50%氮肥,加蚯蚓,N_availability,Available N,401.07988218424,mg kg^-1,available_N
W-N1+E-6,小麦,50%氮肥,加蚯蚓,pH,pH,7.22,none,supplement
W-N1+E-6,小麦,50%氮肥,加蚯蚓,Soil_moisture,Soil moisture,12.549240292628,%,supplement
W-N1+E-8,小麦,50%氮肥,加蚯蚓,TC_gkg,TC,16.0178554058075,g kg^-1,C_N_pool
W-N1+E-8,小麦,50%氮肥,加蚯蚓,TN_gkg,TN,1.34735092520714,g kg^-1,C_N_pool
W-N1+E-8,小麦,50%氮肥,加蚯蚓,SOC_gkg,SOC,1.70321750678647,g kg^-1,C_N_pool
W-N1+E-8,小麦,50%氮肥,加蚯蚓,NO3_N,NO3--N,48.4047255565551,mg kg^-1,available_N
W-N1+E-8,小麦,50%氮肥,加蚯蚓,NH4_N,NH4+-N,11.5276407407642,mg kg^-1,available_N
W-N1+E-8,小麦,50%氮肥,加蚯蚓,N_availability,Available N,59.9323662973192,mg kg^-1,available_N
W-N1+E-8,小麦,50%氮肥,加蚯蚓,pH,pH,7.26,none,supplement
W-N1+E-8,小麦,50%氮肥,加蚯蚓,Soil_moisture,Soil moisture,15.3402537485582,%,supplement
W-N2+E-1,小麦,100%氮肥,加蚯蚓,TC_gkg,TC,14.6037876605988,g kg^-1,C_N_pool
W-N2+E-1,小麦,100%氮肥,加蚯蚓,TN_gkg,TN,0.877320766448975,g kg^-1,C_N_pool
W-N2+E-1,小麦,100%氮肥,加蚯蚓,SOC_gkg,SOC,1.93422031875966,g kg^-1,C_N_pool
W-N2+E-1,小麦,100%氮肥,加蚯蚓,NO3_N,NO3--N,58.5084195631056,mg kg^-1,available_N
W-N2+E-1,小麦,100%氮肥,加蚯蚓,NH4_N,NH4+-N,26.5116646948991,mg kg^-1,available_N
W-N2+E-1,小麦,100%氮肥,加蚯蚓,N_availability,Available N,85.0200842580047,mg kg^-1,available_N
W-N2+E-1,小麦,100%氮肥,加蚯蚓,pH,pH,7.2,none,supplement
W-N2+E-1,小麦,100%氮肥,加蚯蚓,Soil_moisture,Soil moisture,14.4819690898684,%,supplement
W-N2+E-6,小麦,100%氮肥,加蚯蚓,TC_gkg,TC,16.6130232810974,g kg^-1,C_N_pool
W-N2+E-6,小麦,100%氮肥,加蚯蚓,TN_gkg,TN,0.903457999229431,g kg^-1,C_N_pool
W-N2+E-6,小麦,100%氮肥,加蚯蚓,SOC_gkg,SOC,1.89203571257508,g kg^-1,C_N_pool
W-N2+E-6,小麦,100%氮肥,加蚯蚓,NO3_N,NO3--N,427.237756596927,mg kg^-1,available_N
W-N2+E-6,小麦,100%氮肥,加蚯蚓,NH4_N,NH4+-N,16.5512089203144,mg kg^-1,available_N
W-N2+E-6,小麦,100%氮肥,加蚯蚓,N_availability,Available N,443.788965517241,mg kg^-1,available_N
W-N2+E-6,小麦,100%氮肥,加蚯蚓,pH,pH,7.12,none,supplement
W-N2+E-6,小麦,100%氮肥,加蚯蚓,Soil_moisture,Soil moisture,175.862068965517,%,supplement
W-N2+E-9,小麦,100%氮肥,加蚯蚓,TC_gkg,TC,16.9245624542236,g kg^-1,C_N_pool
W-N2+E-9,小麦,100%氮肥,加蚯蚓,TN_gkg,TN,0.662416219711304,g kg^-1,C_N_pool
W-N2+E-9,小麦,100%氮肥,加蚯蚓,SOC_gkg,SOC,1.68393376493953,g kg^-1,C_N_pool
W-N2+E-9,小麦,100%氮肥,加蚯蚓,NO3_N,NO3--N,53.5949832773419,mg kg^-1,available_N
W-N2+E-9,小麦,100%氮肥,加蚯蚓,NH4_N,NH4+-N,16.5136700590277,mg kg^-1,available_N
W-N2+E-9,小麦,100%氮肥,加蚯蚓,N_availability,Available N,70.1086533363696,mg kg^-1,available_N
W-N2+E-9,小麦,100%氮肥,加蚯蚓,pH,pH,7.2,none,supplement
W-N2+E-9,小麦,100%氮肥,加蚯蚓,Soil_moisture,Soil moisture,10.1321585903083,%,supplement
W-N3+E-3,小麦,150%氮肥,加蚯蚓,TC_gkg,TC,15.027539730072,g kg^-1,C_N_pool
W-N3+E-3,小麦,150%氮肥,加蚯蚓,TN_gkg,TN,0.638802796602249,g kg^-1,C_N_pool
W-N3+E-3,小麦,150%氮肥,加蚯蚓,SOC_gkg,SOC,1.70651431962112,g kg^-1,C_N_pool
W-N3+E-3,小麦,150%氮肥,加蚯蚓,NO3_N,NO3--N,41.9009371228317,mg kg^-1,available_N
W-N3+E-3,小麦,150%氮肥,加蚯蚓,NH4_N,NH4+-N,23.7342946027082,mg kg^-1,available_N
W-N3+E-3,小麦,150%氮肥,加蚯蚓,N_availability,Available N,65.63523172554,mg kg^-1,available_N
W-N3+E-3,小麦,150%氮肥,加蚯蚓,pH,pH,7.08,none,supplement
W-N3+E-3,小麦,150%氮肥,加蚯蚓,Soil_moisture,Soil moisture,18.6943620178042,%,supplement
W-N3+E-6,小麦,150%氮肥,加蚯蚓,TC_gkg,TC,15.6706023216248,g kg^-1,C_N_pool
W-N3+E-6,小麦,150%氮肥,加蚯蚓,TN_gkg,TN,0.61352301388979,g kg^-1,C_N_pool
W-N3+E-6,小麦,150%氮肥,加蚯蚓,SOC_gkg,SOC,1.36152792925883,g kg^-1,C_N_pool
W-N3+E-6,小麦,150%氮肥,加蚯蚓,NO3_N,NO3--N,40.8504060857436,mg kg^-1,available_N
W-N3+E-6,小麦,150%氮肥,加蚯蚓,NH4_N,NH4+-N,25.4676596417146,mg kg^-1,available_N
W-N3+E-6,小麦,150%氮肥,加蚯蚓,N_availability,Available N,66.3180657274583,mg kg^-1,available_N
W-N3+E-6,小麦,150%氮肥,加蚯蚓,pH,pH,7.19,none,supplement
W-N3+E-6,小麦,150%氮肥,加蚯蚓,Soil_moisture,Soil moisture,17.6470588235294,%,supplement
W-N3+E-10,小麦,150%氮肥,加蚯蚓,TC_gkg,TC,16.9381213188171,g kg^-1,C_N_pool
W-N3+E-10,小麦,150%氮肥,加蚯蚓,TN_gkg,TN,0.755683705210686,g kg^-1,C_N_pool
W-N3+E-10,小麦,150%氮肥,加蚯蚓,SOC_gkg,SOC,1.07491470960899,g kg^-1,C_N_pool
